Gene;Group
AQP4:ENSG00000171885;Astrocytes
SLC1A3:ENSG00000079215;Astrocytes
GFAP:ENSG00000131095;Astrocytes
S1PR1:ENSG00000170989;Astrocytes
C1orf61:ENSG00000125462;Astrocytes
SEMA6D:ENSG00000137872;Astrocytes
EDNRB:ENSG00000136160;Astrocytes
PTPRZ1:ENSG00000106278;Astrocytes
ID2:ENSG00000115738;Astrocytes
BMPR1B:ENSG00000138696;Astrocytes
PDLIM3:ENSG00000154553;Astrocytes
BCAN:ENSG00000132692;Astrocytes
ID4:ENSG00000172201;Astrocytes
HEPACAM:ENSG00000165478;Astrocytes
ADCYAP1R1:ENSG00000078549;Astrocytes
SULF1:ENSG00000137573;Astrocytes
NCAN:ENSG00000130287;Astrocytes
THBS2:ENSG00000186340;Astrocytes
FZD3:ENSG00000104290;Astrocytes
GJA1:ENSG00000152661;Astrocytes
OLIG1:ENSG00000184221;Oligodendrocytes
PMP2:ENSG00000147588;Oligodendrocytes
PCDH15:ENSG00000150275;Oligodendrocytes
ATCAY:ENSG00000167654;Oligodendrocytes
APOD:ENSG00000189058;Oligodendrocytes
LPPR1:ENSG00000148123;Oligodendrocytes
CA10:ENSG00000154975;Oligodendrocytes
GRIA2:ENSG00000120251;Oligodendrocytes
LIMS2:ENSG00000072163;Oligodendrocytes
SCRG1:ENSG00000164106;Oligodendrocytes
LRRTM2:ENSG00000146006;Oligodendrocytes
STMN4:ENSG00000015592;Oligodendrocytes
TNR:ENSG00000116147;Oligodendrocytes
COL9A1:ENSG00000112280;Oligodendrocytes
CNTN1:ENSG00000018236;Oligodendrocytes
PLLP:ENSG00000102934;Oligodendrocytes
BCHE:ENSG00000114200;Oligodendrocytes
CADM2:ENSG00000175161;Oligodendrocytes
IL1RAP:ENSG00000196083..1;Oligodendrocytes
COL20A1:ENSG00000101203;Oligodendrocytes
GAP43:ENSG00000172020;Neuron
NEFL:ENSG00000104725;Neuron
STMN2:ENSG00000104435;Neuron
SNCB:ENSG00000074317;Neuron
INA:ENSG00000148798;Neuron
SNAP25:ENSG00000132639;Neuron
TMEM130:ENSG00000166448;Neuron
GNG3:ENSG00000162188;Neuron
NSG2:ENSG00000170091;Neuron
ATP1A3:ENSG00000105409;Neuron
RAB3A:ENSG00000105649;Neuron
ACHE:ENSG00000087085;Neuron
DNAJC6:ENSG00000116675;Neuron
NAPB:ENSG00000125814;Neuron
CALY:ENSG00000130643;Neuron
RCAN2:ENSG00000172348;Neuron
ACOT7:ENSG00000097021;Neuron
SCG2:ENSG00000171951;Neuron
VSNL1:ENSG00000163032;Neuron
STXBP1:ENSG00000136854;Neuron
COL3A1:ENSG00000168542;FBLC
FBLN1:ENSG00000077942;FBLC
EMP2:ENSG00000213853;FBLC
S100A11:ENSG00000163191;FBLC
OLFML3:ENSG00000116774;FBLC
PCOLCE:ENSG00000106333;FBLC
CTSK:ENSG00000143387;FBLC
TM4SF1:ENSG00000169908;FBLC
IFITM2:ENSG00000185201;FBLC
COL1A1:ENSG00000108821;FBLC
RBP1:ENSG00000114115;FBLC
PLAT:ENSG00000104368;FBLC
CPXM1:ENSG00000088882;FBLC
GPR133:ENSG00000111452;FBLC
SERPINF1:ENSG00000132386;FBLC
ISLR:ENSG00000129009;FBLC
ISG20:ENSG00000172183;FBLC
MFAP2:ENSG00000117122;FBLC
MMP2:ENSG00000087245;FBLC
TPM2:ENSG00000198467;FBLC
