Gene;Group
SOX9:ENSG00000125398;neural progenitors
HES5:ENSG00000197921;neural progenitors
NFIB:ENSG00000147862;neural progenitors
LINC00478:ENSG00000215386;neural progenitors
ITGB8:ENSG00000105855;neural progenitors
PTPRZ1:ENSG00000106278;neural progenitors
NFIA:ENSG00000162599;neural progenitors
QKI:ENSG00000112531;neural progenitors
LHFP:ENSG00000183722;neural progenitors
ID4:ENSG00000172201;neural progenitors
LIMCH1:ENSG00000064042;neural progenitors
LINC00461:ENSG00000245526;neural progenitors
WNT5A:ENSG00000114251;neural progenitors
TTYH1:ENSG00000167614;neural progenitors
JUN:ENSG00000177606;neural progenitors
EDNRB:ENSG00000136160;neural progenitors
CTGF:ENSG00000118523;neural progenitors
RPS4Y1:ENSG00000129824;neural progenitors
FGFR3:ENSG00000068078;neural progenitors
VEPH1:ENSG00000197415;neural progenitors
STMN2:ENSG00000104435;neuron precursors
DCX:ENSG00000077279;neuron precursors
GAP43:ENSG00000172020;neuron precursors
RTN1:ENSG00000139970;neuron precursors
CTNNA2:ENSG00000066032;neuron precursors
INA:ENSG00000148798;neuron precursors
TAGLN3:ENSG00000144834;neuron precursors
ELAVL4:ENSG00000162374;neuron precursors
NSG1:ENSG00000168824;neuron precursors
DPYSL3:ENSG00000113657;neuron precursors
GNG3:ENSG00000162188;neuron precursors
NCAM1:ENSG00000149294;neuron precursors
RUNX1T1:ENSG00000079102;neuron precursors
CLASP2:ENSG00000163539;neuron precursors
SCG3:ENSG00000104112;neuron precursors
NSG2:ENSG00000170091;neuron precursors
SCN3A:ENSG00000153253;neuron precursors
KIF5A:ENSG00000155980;neuron precursors
EBF3:ENSG00000108001;neuron precursors
NR4A2:ENSG00000153234;neuron precursors
CCNB2:ENSG00000157456;FBLC progenitors
AURKB:ENSG00000178999;FBLC progenitors
PTTG1:ENSG00000164611;FBLC progenitors
UBE2C:ENSG00000175063;FBLC progenitors
MAD2L1:ENSG00000164109;FBLC progenitors
RRM2:ENSG00000171848;FBLC progenitors
TOP2A:ENSG00000131747;FBLC progenitors
NUSAP1:ENSG00000137804;FBLC progenitors
CKS1B:ENSG00000173207;FBLC progenitors
KIF2C:ENSG00000142945;FBLC progenitors
BIRC5:ENSG00000089685;FBLC progenitors
CENPF:ENSG00000117724;FBLC progenitors
TPX2:ENSG00000088325;FBLC progenitors
TYMS:ENSG00000176890;FBLC progenitors
CDC20:ENSG00000117399;FBLC progenitors
PTTG3P:ENSG00000213005;FBLC progenitors
HMGB2P1:ENSG00000267736;FBLC progenitors
SMC4:ENSG00000113810;FBLC progenitors
CCNB1:ENSG00000134057;FBLC progenitors
DLGAP5:ENSG00000126787;FBLC progenitors
IGFBP2:ENSG00000115457;FBLC precursors
CRABP2:ENSG00000143320;FBLC precursors
SERPINF1:ENSG00000132386;FBLC precursors
FREM1:ENSG00000164946;FBLC precursors
TIMP1:ENSG00000102265;FBLC precursors
TPBG:ENSG00000146242;FBLC precursors
MTND5P11:ENSG00000248923;FBLC precursors
IFITM3:ENSG00000142089;FBLC precursors
IFITM2:ENSG00000185201;FBLC precursors
RPSAP53:ENSG00000214263;FBLC precursors
PLTP:ENSG00000100979;FBLC precursors
LGI1:ENSG00000108231;FBLC precursors
SERPINH1:ENSG00000149257;FBLC precursors
NPC2:ENSG00000119655;FBLC precursors
TPM2:ENSG00000198467;FBLC precursors
TXNIP:ENSG00000117289;FBLC precursors
CNN2:ENSG00000064666;FBLC precursors
DOCK10:ENSG00000135905;FBLC precursors
FSTL1:ENSG00000163430;FBLC precursors
P4HA1:ENSG00000122884;FBLC precursors
