SM,plate,celltype,sample_type,sort_type
fetal_after_5_E12,fetal_after_5_E12,fetal_after,graft,fetal,size
fetal_after_3_B12,fetal_after_3_B12,fetal_after,graft,fetal,size
fetal_after_3_A12,fetal_after_3_A12,fetal_after,graft,fetal,size
fetal_after_4_A3,fetal_after_4_A3,fetal_after,graft,fetal,size
fetal_after_4_B2,fetal_after_4_B2,fetal_after,graft,fetal,size
fetal_after_5_A6,fetal_after_5_A6,fetal_after,graft,fetal,size
fetal_after_2_B12,fetal_after_2_B12,fetal_after,graft,fetal,size
fetal_after_2_E8,fetal_after_2_E8,fetal_after,graft,fetal,size
fetal_after_1_F9,fetal_after_1_F9,fetal_after,graft,fetal,size
fetal_after_1_C9,fetal_after_1_C9,fetal_after,graft,fetal,size
fetal_after_5_C2,fetal_after_5_C2,fetal_after,graft,fetal,size
fetal_after_3_E6,fetal_after_3_E6,fetal_after,graft,fetal,size
fetal_after_1_D5,fetal_after_1_D5,fetal_after,graft,fetal,size
fetal_after_1_D6,fetal_after_1_D6,fetal_after,graft,fetal,size
fetal_after_3_G12,fetal_after_3_G12,fetal_after,graft,fetal,size
fetal_after_3_F12,fetal_after_3_F12,fetal_after,graft,fetal,size
fetal_after_4_C1,fetal_after_4_C1,fetal_after,graft,fetal,size
fetal_after_3_F7,fetal_after_3_F7,fetal_after,graft,fetal,size
fetal_after_5_D11,fetal_after_5_D11,fetal_after,graft,fetal,size
fetal_after_5_E5,fetal_after_5_E5,fetal_after,graft,fetal,size
fetal_after_2_A7,fetal_after_2_A7,fetal_after,graft,fetal,size
fetal_after_1_D8,fetal_after_1_D8,fetal_after,graft,fetal,size
fetal_after_1_B8,fetal_after_1_B8,fetal_after,graft,fetal,size
fetal_after_2_C3,fetal_after_2_C3,fetal_after,graft,fetal,size
fetal_after_2_E2,fetal_after_2_E2,fetal_after,graft,fetal,size
fetal_after_3_C6,fetal_after_3_C6,fetal_after,graft,fetal,size
fetal_after_2_C6,fetal_after_2_C6,fetal_after,graft,fetal,size
fetal_after_4_D4,fetal_after_4_D4,fetal_after,graft,fetal,size
fetal_after_2_A12,fetal_after_2_A12,fetal_after,graft,fetal,size
fetal_after_3_D7,fetal_after_3_D7,fetal_after,graft,fetal,size
fetal_after_5_H2,fetal_after_5_H2,fetal_after,graft,fetal,size
fetal_after_3_B6,fetal_after_3_B6,fetal_after,graft,fetal,size
fetal_after_1_E4,fetal_after_1_E4,fetal_after,graft,fetal,size
fetal_after_2_B5,fetal_after_2_B5,fetal_after,graft,fetal,size
fetal_after_4_C9,fetal_after_4_C9,fetal_after,graft,fetal,size
fetal_after_4_D8,fetal_after_4_D8,fetal_after,graft,fetal,size
fetal_after_1_B5,fetal_after_1_B5,fetal_after,graft,fetal,size
fetal_after_5_A8,fetal_after_5_A8,fetal_after,graft,fetal,size
fetal_after_5_G9,fetal_after_5_G9,fetal_after,graft,fetal,size
fetal_after_3_D10,fetal_after_3_D10,fetal_after,graft,fetal,size
fetal_after_3_H10,fetal_after_3_H10,fetal_after,graft,fetal,size
fetal_after_3_F10,fetal_after_3_F10,fetal_after,graft,fetal,size
fetal_after_1_F7,fetal_after_1_F7,fetal_after,graft,fetal,size
fetal_after_1_G10,fetal_after_1_G10,fetal_after,graft,fetal,size
fetal_after_1_A11,fetal_after_1_A11,fetal_after,graft,fetal,size
fetal_after_3_A1,fetal_after_3_A1,fetal_after,graft,fetal,size
fetal_after_1_C12,fetal_after_1_C12,fetal_after,graft,fetal,size
fetal_after_1_A12,fetal_after_1_A12,fetal_after,graft,fetal,size
fetal_after_1_F3,fetal_after_1_F3,fetal_after,graft,fetal,size
fetal_after_5_C10,fetal_after_5_C10,fetal_after,graft,fetal,size
fetal_after_2_D9,fetal_after_2_D9,fetal_after,graft,fetal,size
fetal_after_3_H9,fetal_after_3_H9,fetal_after,graft,fetal,size
fetal_after_5_F10,fetal_after_5_F10,fetal_after,graft,fetal,size
fetal_after_2_C10,fetal_after_2_C10,fetal_after,graft,fetal,size
fetal_after_2_D10,fetal_after_2_D10,fetal_after,graft,fetal,size
fetal_after_1_D7,fetal_after_1_D7,fetal_after,graft,fetal,size
fetal_after_1_A7,fetal_after_1_A7,fetal_after,graft,fetal,size
fetal_after_4_A6,fetal_after_4_A6,fetal_after,graft,fetal,size
fetal_after_4_E6,fetal_after_4_E6,fetal_after,graft,fetal,size
fetal_after_1_F2,fetal_after_1_F2,fetal_after,graft,fetal,size
fetal_after_1_F1,fetal_after_1_F1,fetal_after,graft,fetal,size
fetal_after_1_G1,fetal_after_1_G1,fetal_after,graft,fetal,size
fetal_after_1_C2,fetal_after_1_C2,fetal_after,graft,fetal,size
fetal_before_2_H4,fetal_before_2_H4,fetal_before,Culture,fetal,size
fetal_before_2_F4,fetal_before_2_F4,fetal_before,Culture,fetal,size
fetal_before_5_D8,fetal_before_5_D8,fetal_before,Culture,fetal,size
fetal_before_5_C8,fetal_before_5_C8,fetal_before,Culture,fetal,size
fetal_before_3_H5,fetal_before_3_H5,fetal_before,Culture,fetal,size
fetal_before_3_A6,fetal_before_3_A6,fetal_before,Culture,fetal,size
fetal_before_3_F5,fetal_before_3_F5,fetal_before,Culture,fetal,size
fetal_before_3_G5,fetal_before_3_G5,fetal_before,Culture,fetal,size
fetal_before_3_D5,fetal_before_3_D5,fetal_before,Culture,fetal,size
fetal_before_3_E5,fetal_before_3_E5,fetal_before,Culture,fetal,size
fetal_before_3_B5,fetal_before_3_B5,fetal_before,Culture,fetal,size
fetal_before_2_F5,fetal_before_2_F5,fetal_before,Culture,fetal,size
fetal_before_2_E5,fetal_before_2_E5,fetal_before,Culture,fetal,size
fetal_before_2_D5,fetal_before_2_D5,fetal_before,Culture,fetal,size
fetal_before_2_A5,fetal_before_2_A5,fetal_before,Culture,fetal,size
fetal_before_5_F9,fetal_before_5_F9,fetal_before,Culture,fetal,size
fetal_before_5_E1,fetal_before_5_E1,fetal_before,Culture,fetal,size
fetal_before_5_C1,fetal_before_5_C1,fetal_before,Culture,fetal,size
fetal_before_5_B1,fetal_before_5_B1,fetal_before,Culture,fetal,size
fetal_before_5_A2,fetal_before_5_A2,fetal_before,Culture,fetal,size
fetal_before_5_H1,fetal_before_5_H1,fetal_before,Culture,fetal,size
fetal_before_5_C2,fetal_before_5_C2,fetal_before,Culture,fetal,size
fetal_before_5_B2,fetal_before_5_B2,fetal_before,Culture,fetal,size
fetal_before_2_A7,fetal_before_2_A7,fetal_before,Culture,fetal,size
fetal_before_2_C6,fetal_before_2_C6,fetal_before,Culture,fetal,size
fetal_before_2_H5,fetal_before_2_H5,fetal_before,Culture,fetal,size
fetal_before_2_F6,fetal_before_2_F6,fetal_before,Culture,fetal,size
fetal_before_2_G6,fetal_before_2_G6,fetal_before,Culture,fetal,size
fetal_before_2_E6,fetal_before_2_E6,fetal_before,Culture,fetal,size
fetal_before_5_A9,fetal_before_5_A9,fetal_before,Culture,fetal,size
fetal_before_5_F8,fetal_before_5_F8,fetal_before,Culture,fetal,size
fetal_before_5_B11,fetal_before_5_B11,fetal_before,Culture,fetal,size
fetal_before_2_G2,fetal_before_2_G2,fetal_before,Culture,fetal,size
fetal_before_2_F2,fetal_before_2_F2,fetal_before,Culture,fetal,size
fetal_before_2_A3,fetal_before_2_A3,fetal_before,Culture,fetal,size
fetal_before_2_H2,fetal_before_2_H2,fetal_before,Culture,fetal,size
fetal_before_2_C2,fetal_before_2_C2,fetal_before,Culture,fetal,size
fetal_before_2_B2,fetal_before_2_B2,fetal_before,Culture,fetal,size
fetal_before_2_E2,fetal_before_2_E2,fetal_before,Culture,fetal,size
fetal_before_2_D2,fetal_before_2_D2,fetal_before,Culture,fetal,size
fetal_before_2_C3,fetal_before_2_C3,fetal_before,Culture,fetal,size
fetal_before_2_B3,fetal_before_2_B3,fetal_before,Culture,fetal,size
fetal_before_5_B8,fetal_before_5_B8,fetal_before,Culture,fetal,size
fetal_before_3_C1,fetal_before_3_C1,fetal_before,Culture,fetal,size
fetal_before_5_G5,fetal_before_5_G5,fetal_before,Culture,fetal,size
fetal_before_5_F5,fetal_before_5_F5,fetal_before,Culture,fetal,size
fetal_before_5_D5,fetal_before_5_D5,fetal_before,Culture,fetal,size
fetal_before_5_B5,fetal_before_5_B5,fetal_before,Culture,fetal,size
fetal_before_5_H4,fetal_before_5_H4,fetal_before,Culture,fetal,size
fetal_before_4_D12,fetal_before_4_D12,fetal_before,Culture,fetal,size
fetal_before_4_F12,fetal_before_4_F12,fetal_before,Culture,fetal,size
fetal_before_4_G12,fetal_before_4_G12,fetal_before,Culture,fetal,size
fetal_before_4_A12,fetal_before_4_A12,fetal_before,Culture,fetal,size
fetal_before_5_E7,fetal_before_5_E7,fetal_before,Culture,fetal,size
fetal_before_5_D7,fetal_before_5_D7,fetal_before,Culture,fetal,size
fetal_before_5_G7,fetal_before_5_G7,fetal_before,Culture,fetal,size
fetal_before_4_D10,fetal_before_4_D10,fetal_before,Culture,fetal,size
fetal_before_4_B10,fetal_before_4_B10,fetal_before,Culture,fetal,size
fetal_before_4_H9,fetal_before_4_H9,fetal_before,Culture,fetal,size
fetal_before_4_D9,fetal_before_4_D9,fetal_before,Culture,fetal,size
fetal_before_2_H9,fetal_before_2_H9,fetal_before,Culture,fetal,size
fetal_before_2_G9,fetal_before_2_G9,fetal_before,Culture,fetal,size
fetal_before_2_F9,fetal_before_2_F9,fetal_before,Culture,fetal,size
fetal_before_2_E10,fetal_before_2_E10,fetal_before,Culture,fetal,size
fetal_before_2_G11,fetal_before_2_G11,fetal_before,Culture,fetal,size
fetal_before_2_D11,fetal_before_2_D11,fetal_before,Culture,fetal,size
